zip,Zipcode name,City,State,County Name,population
32524,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32526,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32534,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32536,"""CRESTVIEW. FL""",CRESTVIEW,FL,OKALOOSA,27134
32539,"""CRESTVIEW. FL""",CRESTVIEW,FL,OKALOOSA,27134
32540,"""DESTIN. FL""",DESTIN,FL,OKALOOSA,13931
32541,"""DESTIN. FL""",DESTIN,FL,OKALOOSA,13931
32547,"""FORT WALTON BEACH. FL""",FORT WALTON BEACH,FL,OKALOOSA,20922
32548,"""FORT WALTON BEACH. FL""",FORT WALTON BEACH,FL,OKALOOSA,20922
32549,"""FORT WALTON BEACH. FL""",FORT WALTON BEACH,FL,OKALOOSA,20922
32561,"""GULF BREEZE. FL""",GULF BREEZE,FL,SANTA ROSA,6302
32562,"""GULF BREEZE. FL""",GULF BREEZE,FL,SANTA ROSA,6302
32563,"""GULF BREEZE. FL""",GULF BREEZE,FL,SANTA ROSA,6302
32567,"""LAUREL HILL. FL""",LAUREL HILL,FL,OKALOOSA,584
32569,"""MARY ESTHER. FL""",MARY ESTHER,FL,OKALOOSA,3982
32570,"""MILTON. FL""",MILTON,FL,SANTA ROSA,10197
32571,"""MILTON. FL""",MILTON,FL,SANTA ROSA,10197
32572,"""MILTON. FL""",MILTON,FL,SANTA ROSA,10197
32578,"""NICEVILLE. FL""",NICEVILLE,FL,OKALOOSA,15772
32580,"""VALPARAISO. FL""",VALPARAISO,FL,OKALOOSA,4752
32583,"""MILTON. FL""",MILTON,FL,SANTA ROSA,10197
32588,"""NICEVILLE. FL""",NICEVILLE,FL,OKALOOSA,15772
32591,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32601,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32602,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32603,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32604,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32605,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32606,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32607,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32608,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32609,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32610,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32611,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32614,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32615,"""ALACHUA. FL""",ALACHUA,FL,ALACHUA,10574
32616,"""ALACHUA. FL""",ALACHUA,FL,ALACHUA,10574
32618,"""ARCHER. FL""",ARCHER,FL,ALACHUA,1140
32625,"""CEDAR KEY. FL""",CEDAR KEY,FL,LEVY,687
32626,"""CHIEFLAND. FL""",CHIEFLAND,FL,LEVY,2316
32627,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32635,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32640,"""HAWTHORNE. FL""",HAWTHORNE,FL,ALACHUA,1478
32641,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32643,"""HIGH SPRINGS. FL""",HIGH SPRINGS,FL,ALACHUA,6215
32644,"""CHIEFLAND. FL""",CHIEFLAND,FL,LEVY,2316
32653,"""GAINESVILLE. FL""",GAINESVILLE,FL,ALACHUA,141085
32655,"""HIGH SPRINGS. FL""",HIGH SPRINGS,FL,ALACHUA,6215
32656,"""KEYSTONE HEIGHTS. FL""",KEYSTONE HEIGHTS,FL,CLAY,1446
32669,"""NEWBERRY. FL""",NEWBERRY,FL,ALACHUA,7342
32693,"""TRENTON. FL""",TRENTON,FL,GILCHRIST,2015
32694,"""WALDO. FL""",WALDO,FL,ALACHUA,846
32696,"""WILLISTON. FL""",WILLISTON,FL,LEVY,2976
32701,"""ALTAMONTE SPRINGS. FL""",ALTAMONTE SPRINGS,FL,SEMINOLE,46231
32703,"""APOPKA. FL""",APOPKA,FL,ORANGE,54873
32704,"""APOPKA. FL""",APOPKA,FL,ORANGE,54873
32707,"""CASSELBERRY. FL""",CASSELBERRY,FL,SEMINOLE,28794
32708,"""WINTER SPRINGS. FL""",WINTER SPRINGS,FL,SEMINOLE,38342
32712,"""APOPKA. FL""",APOPKA,FL,ORANGE,54873
32713,"""DEBARY. FL""",DEBARY,FL,VOLUSIA,22260
32714,"""ALTAMONTE SPRINGS. FL""",ALTAMONTE SPRINGS,FL,SEMINOLE,46231
32715,"""ALTAMONTE SPRINGS. FL""",ALTAMONTE SPRINGS,FL,SEMINOLE,46231
32716,"""ALTAMONTE SPRINGS. FL""",ALTAMONTE SPRINGS,FL,SEMINOLE,46231
32718,"""CASSELBERRY. FL""",CASSELBERRY,FL,SEMINOLE,28794
32719,"""WINTER SPRINGS. FL""",WINTER SPRINGS,FL,SEMINOLE,38342
32720,"""DELAND. FL""",DELAND,FL,VOLUSIA,37351
32721,"""DELAND. FL""",DELAND,FL,VOLUSIA,37351
32723,"""DELAND. FL""",DELAND,FL,VOLUSIA,37351
32724,"""DELAND. FL""",DELAND,FL,VOLUSIA,37351
32725,"""DELTONA. FL""",DELTONA,FL,VOLUSIA,93692
32726,"""EUSTIS. FL""",EUSTIS,FL,LAKE,23189
32727,"""EUSTIS. FL""",EUSTIS,FL,LAKE,23189
32728,"""DELTONA. FL""",DELTONA,FL,VOLUSIA,93692
32730,"""CASSELBERRY. FL""",CASSELBERRY,FL,SEMINOLE,28794
32736,"""EUSTIS. FL""",EUSTIS,FL,LAKE,23189
32738,"""DELTONA. FL""",DELTONA,FL,VOLUSIA,93692
32739,"""DELTONA. FL""",DELTONA,FL,VOLUSIA,93692
32744,"""LAKE HELEN. FL""",LAKE HELEN,FL,VOLUSIA,2842
32746,"""LAKE MARY. FL""",LAKE MARY,FL,SEMINOLE,16798
32750,"""LONGWOOD. FL""",LONGWOOD,FL,SEMINOLE,15087
32751,"""MAITLAND. FL""",MAITLAND,FL,ORANGE,19543
32752,"""LONGWOOD. FL""",LONGWOOD,FL,SEMINOLE,15087
32753,"""DEBARY. FL""",DEBARY,FL,VOLUSIA,22260
32756,"""MOUNT DORA. FL""",MOUNT DORA,FL,LAKE,16341
32757,"""MOUNT DORA. FL""",MOUNT DORA,FL,LAKE,16341
32759,"""OAK HILL. FL""",OAK HILL,FL,VOLUSIA,1986
32762,"""OVIEDO. FL""",OVIEDO,FL,SEMINOLE,40059
32763,"""ORANGE CITY. FL""",ORANGE CITY,FL,VOLUSIA,12632
32765,"""OVIEDO. FL""",OVIEDO,FL,SEMINOLE,40059
32766,"""OVIEDO. FL""",OVIEDO,FL,SEMINOLE,40059
32771,"""SANFORD. FL""",SANFORD,FL,SEMINOLE,61051
32772,"""SANFORD. FL""",SANFORD,FL,SEMINOLE,61051
32773,"""SANFORD. FL""",SANFORD,FL,SEMINOLE,61051
32774,"""ORANGE CITY. FL""",ORANGE CITY,FL,VOLUSIA,12632
32778,"""TAVARES. FL""",TAVARES,FL,LAKE,19003
32779,"""LONGWOOD. FL""",LONGWOOD,FL,SEMINOLE,15087
32780,"""TITUSVILLE. FL""",TITUSVILLE,FL,BREVARD,48789
32781,"""TITUSVILLE. FL""",TITUSVILLE,FL,BREVARD,48789
32783,"""TITUSVILLE. FL""",TITUSVILLE,FL,BREVARD,48789
32784,"""UMATILLA. FL""",UMATILLA,FL,LAKE,3685
32789,"""WINTER PARK. FL""",WINTER PARK,FL,ORANGE,29795
32790,"""WINTER PARK. FL""",WINTER PARK,FL,ORANGE,29795
32791,"""LONGWOOD. FL""",LONGWOOD,FL,SEMINOLE,15087
32792,"""WINTER PARK. FL""",WINTER PARK,FL,ORANGE,29795
32793,"""WINTER PARK. FL""",WINTER PARK,FL,ORANGE,29795
32794,"""MAITLAND. FL""",MAITLAND,FL,ORANGE,19543
32795,"""LAKE MARY. FL""",LAKE MARY,FL,SEMINOLE,16798
32796,"""TITUSVILLE. FL""",TITUSVILLE,FL,BREVARD,48789
32801,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32802,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32803,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32804,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32805,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32806,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32807,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32808,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32809,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
